Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
nissan,navara,2019,Xe đã dùng,60000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.5,5.0,479
kia,sorento,2017,Xe đã dùng,55000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,618
mercedes benz,glc,2019,Xe đã dùng,60000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1489
mitsubishi,attrage,2020,Xe đã dùng,56000.0,Nhập khẩu,Sedan,Số tự động,Xăng,1.2,5.0,365
kia,cerato,2019,Xe đã dùng,48000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,488
suzuki,swift,2019,Xe đã dùng,52000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,425
ford,ranger,2015,Xe đã dùng,90000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.2,5.0,435
toyota,yaris,2019,Xe đã dùng,47000.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.5,5.0,495
toyota,vios,2018,Xe đã dùng,72000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,399
daewoo,gentrax,2010,Xe đã dùng,0.0,Nhập khẩu,Hatchback,Số tự động,Xăng,1.2,5.0,185
vinfast,fadil,2021,Xe đã dùng,13000.0,Trong nước,Hatchback,Số tự động,Xăng,1.4,5.0,299
toyota,fortuner,2018,Xe đã dùng,40000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,770
hyundai,santafe,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.2,7.0,1182
toyota,innova,2013,Xe đã dùng,10000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,309
bmw,5,2021,Xe đã dùng,9000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,2500
landrover,rangerover,2014,Xe đã dùng,60000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,5.0,2550
toyota,prado,2023,Xe đã dùng,2800.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,2850
mazda,cx5,2022,Xe đã dùng,10000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,705
hyundai,accent,2020,Xe đã dùng,35000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,440
ford,focus,2013,Xe đã dùng,72000.0,Trong nước,Hatchback,Số tự động,Xăng,2.0,5.0,313
porsche,cayenne,2010,Xe đã dùng,78000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,4.8,5.0,1450
kia,morning,2016,Xe đã dùng,71123.0,Trong nước,Hatchback,Số tự động,Xăng,1.2,5.0,265
toyota,fortuner,2020,Xe đã dùng,46600.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.4,7.0,850
kia,soluto,2022,Xe đã dùng,11000.0,Trong nước,Sedan,Số tay,Xăng,1.4,5.0,355
kia,soluto,2020,Xe đã dùng,30000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,395
lexus,ls,1998,Xe đã dùng,500000.0,Nhập khẩu,Sedan,Số tự động,Xăng,4.0,5.0,420
kia,seltos,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.4,5.0,599
ford,ranger,2018,Xe đã dùng,96000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.2,5.0,535
toyota,prado,2018,Xe đã dùng,55000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.7,7.0,1850
ford,mondeo,2004,Xe đã dùng,185.0,Trong nước,Sedan,Số tự động,Xăng,2.5,5.0,115
mercedes benz,cclass,2020,Xe đã dùng,12000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1039
ford,everest,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Dầu,2.0,7.0,1178
toyota,camry,2021,Xe đã dùng,26000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.5,5.0,1020
mercedes benz,glc,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2199
